module,path,loc,src_incoming,src_outgoing,test_text_refs,flags
bremen.inference,src/bremen/inference.py [deleted in PR0162],0,0,0,0,"deprecated,shim,DELETE"
bremen.logging_config,src/bremen/logging_config.py,143,3,0,5,
bremen.login_ui,src/bremen/login_ui.py,145,2,0,0,
bremen.mlflow_tracking,src/bremen/mlflow_tracking.py,131,0,0,1,
bremen.model_artifacts,src/bremen/model_artifacts.py,386,2,0,11,
bremen.model_guide_ui,src/bremen/model_guide_ui.py,314,1,0,0,
bremen.model_loader,src/bremen/model_loader.py,93,0,1,10,
bremen.model_package,src/bremen/model_package.py,397,4,0,90,
bremen.model_package_source,src/bremen/model_package_source.py,251,1,2,1,
bremen.model_packages,src/bremen/model_packages/__init__.py,15,0,0,74,
bremen.model_packages.aramina_v0213,src/bremen/model_packages/aramina_v0213/__init__.py,44,6,3,46,
bremen.model_packages.aramina_v0213.aramina_preprocess_worker,src/bremen/model_packages/aramina_v0213/aramina_preprocess_worker.py,89,1,0,0,
bremen.model_packages.aramina_v0213.artifact_compat,src/bremen/model_packages/aramina_v0213/artifact_compat.py,174,2,0,0,
bremen.model_packages.aramina_v0213.errors,src/bremen/model_packages/aramina_v0213/errors.py,198,6,1,1,
bremen.model_packages.aramina_v0213.inference,src/bremen/model_packages/aramina_v0213/inference.py,544,1,8,14,
bremen.model_packages.aramina_v0213.manifest,src/bremen/model_packages/aramina_v0213/manifest.py,108,0,0,0,
bremen.model_packages.aramina_v0213.preprocessing,src/bremen/model_packages/aramina_v0213/preprocessing.py,196,2,1,17,
bremen.model_packages.aramina_v0213.runtime,src/bremen/model_packages/aramina_v0213/runtime.py,148,1,3,4,
bremen.model_packages.aramina_v0213.source_metadata,src/bremen/model_packages/aramina_v0213/source_metadata.py,217,0,1,0,
bremen.model_packages.aramina_v0213.symmetry,src/bremen/model_packages/aramina_v0213/symmetry.py,264,2,0,1,
bremen.model_packages.aramina_v0213.trace,src/bremen/model_packages/aramina_v0213/trace.py,91,2,1,0,
bremen.model_packages.bremen_v01,src/bremen/model_packages/bremen_v01/__init__.py,46,4,2,24,
bremen.model_packages.bremen_v01.bremen_preprocess_worker,src/bremen/model_packages/bremen_v01/bremen_preprocess_worker.py,161,0,0,2,
bremen.model_packages.bremen_v01.features,src/bremen/model_packages/bremen_v01/features.py,462,3,0,3,
bremen.model_packages.bremen_v01.manifest,src/bremen/model_packages/bremen_v01/manifest.py,126,0,0,1,
bremen.model_packages.bremen_v01.predictor,src/bremen/model_packages/bremen_v01/predictor.py,238,2,1,2,
bremen.model_packages.bremen_v01.preprocessing,src/bremen/model_packages/bremen_v01/preprocessing.py,112,1,0,0,
bremen.model_packages.bremen_v01.runtime,src/bremen/model_packages/bremen_v01/runtime.py,396,2,7,10,
bremen.model_packages.bremen_v01.source_metadata,src/bremen/model_packages/bremen_v01/source_metadata.py,202,0,1,0,
bremen.model_packages_bridge,src/bremen/model_packages_bridge.py,54,2,0,1,
bremen.model_playground_ui,src/bremen/model_playground_ui.py,31,1,0,0,
bremen.model_runtime,src/bremen/model_runtime.py [deleted in PR0162],0,0,0,0,DELETE
bremen.modeling,src/bremen/modeling.py,1325,0,0,2,
bremen.pipelines,src/bremen/pipelines.py,513,1,0,5,
bremen.report_ui,src/bremen/report_ui.py,1541,3,0,82,
bremen.start_page_ui,src/bremen/start_page_ui.py,312,2,0,1,
